BB29B6D3	ILB01.WAV	~h~oThe Empire has destroyed~nthe main generator!~nThe shield door to~nBay 3 is closed,~nand we can't take off.
4035475D	ILB06.WAV	~oI'll try to avoid asteroids~nwhile you're busy in the~ngun turret.
E9E9E655	ILB08.WAV	~oJump to the next~nhover train!
60A05C90	ILB09.WAV	~oYou missed the~nhover train...
9D73E485	ILB11.WAV	~h~oI'll watch the ship.~nGet out there and find Boba Fett!
6A7FC2E8	ILB14.WAV	~oWe'll never get paid if~nyou stay here all day.
6EA49119	ILB15.WAV	~oThe ship is safe~nwith me, Sir.
250DA917	ILB16.WAV	~oGo away, Sir.
42F92FD8	ILB17.WAV	~h~oThe spaceport computer~nis in the observation tower.~nActivate it, and we'll know~nwhere Boba Fett is docked.
662E8A37	ILB24.WAV	~oStop the swoop gang before~nthey reach Luke!
CA7217F6	ILB26.WAV	~oHurry! The swoop gang is~nalmost upon Luke!
F5F95B66	ILB27.WAV	~oI'm not getting a signal~nfrom Luke, Sir...~nI think they got him.
FCB92109	ILB29.WAV	~oThat does it for the swoop gang.~nHead for Kenobi's place.
DF2D2FFB	ILB33.WAV	~h~oMake your way through the~nship, and find the Imperial~nsuper computer.
2809313A	ILB34.WAV	~h~oMy scanners show that it is~nnear the main cargo hangar.
C22B0430	ILB35.WAV	~h~oYou found the super~ncomputer!
626E01CF	ILB36.WAV	~h~oNow take the lift back~nto the control room,~nand switch off the hangar~nforce field so that~nI can pick you up.
4FDC18CF	ILB37.WAV	~h~oFind your way through the~nsewers to get to the~nentrance of Xizor's lair.
ACBC4CC8	ILB39.WAV	~h~oYou found the security key~nthat will access the main~nsewage gate.
E9E5E8B4	ILB40.WAV	~h~oYou need to find a force~nfield deactivator.
2E000141	ILB42.WAV	~h~oSir, there are several~nservice panels to the~nspace elevator that~nconnects Xizor's palace~nto his skyhook in orbit.
EB5B276B	ILB43.WAV	~h~oIf you place pulse~nbombs on each of these~nthree service panels, the~nfortress will be destroyed,~nand the skyhook will be~ncut off.
211F8144	ILB44.WAV	~h~oThe pulse bombs are set~nand Luke has found Princess~nLeia. Just find a way out!
A6918E63	ILB46.WAV	~oSir, you'd better take over~nthe ship... We've reached~nthe skyhook!
D757FDA6	ILB03.WAV	~h~oYou must activate the~nemergency generators~non the lower level~nto open the door.~nHurry!
C01B4784	ILB04.WAV	~h~oThe power has been~nrestored. Hurry up and~nget to the ship!
5116133F	ILB10.WAV	~oOkay, Sir! I've taken care of~nthe auto-brake. Prepare for~nimpact!
E512B6D8	ILB18.WAV	~h~oBoba Fett is across the~ncanyon in the second tower.~nYou'll need a jetpack to~nreach him.
11F1FBA4	ILB21.WAV	~h~oGood job, Boss!~nBoba Fett is grounded.~nI'll notify Luke.
87D983AB	ILB31.WAV	~o~cJetpack Malfunction
13161B09	ILB38.WAV	~h~oYou need a security key~nof some sort.
4B28A91B	ILB41.WAV	~oIt's a force field~ndeactivator!
